URL,no of '.',special char,url length,susp_words,same_tld,htp_count,brand_name_location,data:uri,phpOrEmpty,#hyperlinks,empty_link,fake links,empty_links_ratio,errorLinks,redirect_links,class
"http://webcindario0.dvrdns.org/source/latest/gs_gen/gs3d61cefa6da7b48fe32bc20464131fa7/?dispatch=dvifvujgijkayvrms7rbgj4p9bxqywmbs4rnyl3g5ordkt0c0r
com/",0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1
"http://em.rdcu.be/ls/click?upn=s3vsljn0pxnawifobxlxvi0bica0ifofmaloha2-2bgy0-3dovsn_im95wqjiw6axnt6018765jhicqmbudcxhiwylixzrglcy64a11llzjk9rufswgbs8xwcsw6xfbf68bjucnyrrhmd955pwdlnoru4wapwxuvil-2bi-2buo8v8wplbonkzfgtakjlqwydcen7m-2baxh0wydaiqf-2ffqavemjturqhmhf0nrlbmakxan4-2bn3tx7vfpscdhiwryovlslofoq6efwixbdyyh-2fjokth6-2f12kxqe9ru-3d
com/",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1
"http://rbc.sg/js/excel/page.php?email=&amp;.rand=13vqcr8bp0gud&amp;lc=1033&amp;id=64855&amp;mkt=en-us&amp;cbcxt=mai&amp;snsc=1
com/",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1
"http://webmail.mcevoys.net/ba/login.php?cmd=login_submit&amp;id=eb0389b71a96261d0602a6b78839d239eb0389b71a96261d0602a6b78839d239&amp;session=eb0389b71a96261d0602a6b78839d239eb0389b71a96261d0602a6b78839d239
com/",0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1
http://www.primeroelcliente.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"http://iad2.co.il/signin/bankofamerica/login.php?cmd=login_submit&amp;id=49fbc2bad59287faea0e4314da2cffa049fbc2bad59287faea0e4314da2cffa0&amp;session=49fbc2bad59287faea0e4314da2cffa049fbc2bad59287faea0e4314da2cffa0
com/",0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1
"http://webcindario0.dvrdns.org/source/latest/gs_gen/gs968fe7899b57b33eaf954c792996067d/?dispatch=cfwsokoy80r3z06exiwmispo7imfaewcus4icshlt9os9v6hd3
com/",0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1
"http://ronaldjamesgroup.co/wp-content/uploads/2020/adobepdf/viewer.php?idp=login
com/",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1
http://fastfoodmenuprice.com/,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"http://webcindario0.dvrdns.org/source/latest/gs_gen/gs5ebb22ad03d6eb22b474827c09b66eb4/?dispatch=2wxuhicadfhx6mhni0jcjbppypph0ww3s3xamjlqycn5yfsgfc
com/",0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1
http://zoneplushostel.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"http://balli.gr/admin/ourtime/ourtime/ourtime/ourtime123/ourtime.php?62616c6c692e6772
com/",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1
"http://34.67.51.20/newcerto/router-app/router_home.php
com/",1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
http://mail.maestraester.com/,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
http://mestalismans.com/,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
http://fastfoodmenuprice.com/,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"http://webcindario0.dvrdns.org/source/latest/gs_gen/gsf31c4a35f1de5ccd71ca069bcba39b42/?dispatch=ovnbzokpa4wgfhjhttcoy5h7kh9q5p0tknvkbfamk62znmhgpu
com/",0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1
"http://webcindario0.dvrdns.org/source/latest/gs_gen/gs32329e7c63ee77d46af2f8406d0cb042/?dispatch=mddatblyzrdfe6hpnecddyll5g3aecy0qbakmwimnwbcdjr0xe
com/",0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1
https://adhrithospitality.com/,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
http://expeditions-of-e.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
https://services.runescape.com/,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
http://leeleephoto.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
https://picasonaturals.com/,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
https://www.picasonaturals.com/,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
http://picasonaturals.com/,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
